DatasetName,N=1(CR),N=1(CS),N=1(DS),N=2(CR),N=2(CS),N=2(DS),N=5(CR),N=5(CS),N=5(DS),N=10(CR),N=10(CS),N=10(DS),N=15(CR),N=15(CS),N=15(DS),N=20(CR),N=20(CS),N=20(DS),N=25(CR),N=25(CS),N=25(DS),N=30(CR),N=30(CS),N=30(DS),N=35(CR),N=35(CS),N=35(DS),N=40(CR),N=40(CS),N=40(DS),N=45(CR),N=45(CS),N=45(DS),N=50(CR),N=50(CS),N=50(DS),N=55(CR),N=55(CS),N=55(DS),N=60(CR),N=60(CS),N=60(DS),N=65(CR),N=65(CS),N=65(DS),N=70(CR),N=70(CS),N=70(DS),N=75(CR),N=75(CS),N=75(DS),N=80(CR),N=80(CS),N=80(DS),N=85(CR),N=85(CS),N=85(DS),N=90(CR),N=90(CS),N=90(DS),N=95(CR),N=95(CS),N=95(DS),N=100(CR),N=100(CS),N=100(DS)
ISP-23,10.81,84.38,175.00,10.81,85.37,175.38,10.81,85.28,188.53,10.81,84.29,185.91,10.81,84.29,176.54,10.81,83.51,188.97,10.81,83.08,191.21,10.81,85.01,191.67,10.81,83.59,194.45,10.81,84.92,195.87,10.81,85.82,193.98,10.81,85.37,195.39,10.81,85.19,196.82,10.81,85.73,198.28,10.81,85.37,199.26,10.81,85.55,193.51,10.81,82.48,185.91,10.81,82.99,197.31,10.81,84.21,192.13,10.81,84.12,193.51,10.81,84.56,189.41
ISP-24,10.19,76.35,183.03,10.18,78.71,187.97,10.18,79.94,179.17,10.18,79.44,188.44,10.18,80.70,176.28,10.18,80.96,184.80,10.18,78.71,176.28,10.18,80.79,200.28,10.18,80.45,199.23,10.18,82.35,198.71,10.18,82.18,196.67,10.18,82.53,197.18,10.18,82.62,200.28,10.18,82.44,201.33,10.18,83.07,197.69,10.18,82.98,201.33,10.18,83.16,196.17,10.18,82.71,197.18,10.18,82.80,199.23,10.18,82.71,199.75,10.18,82.53,195.17
Public,12.12,80.98,188.98,12.12,81.40,188.80,12.11,81.43,190.73,12.11,81.11,187.43,12.11,81.24,172.49,12.11,78.36,182.11,12.11,77.62,177.25,12.11,78.24,189.50,12.11,80.69,188.80,12.11,80.82,177.71,12.11,77.06,170.77,12.11,78.00,186.58,12.11,81.04,187.94,12.11,79.69,180.83,12.11,77.04,175.43,12.11,80.22,186.58,12.11,80.60,188.98,12.11,80.76,188.63,12.11,81.17,190.55,12.11,81.30,191.26,12.11,81.24,188.80
